layer,columns,has_CEP,matches
SSDAT,COD_ID;PN_CON_1;PN_CON_2;CTAT;CT_COD_OP;CONJ;ARE_LOC;DIST;PAC_1;PAC_2;FAS_CON;TIP_INST;TIP_CND;POS;ODI;TI;CM;SITCONT;COMP;DESCR;Shape_Length,False,0
SSDBT,COD_ID;PN_CON_1;PN_CON_2;UNI_TR_MT;CTMT;CT_COD_OP;UNI_TR_AT;SUB;CONJ;ARE_LOC;FAS_CON;DIST;PAC_1;PAC_2;TIP_INST;TIP_CND;POS;ODI;TI;CM;SITCONT;COMP;DESCR;Shape_Length,False,0
SSDMT,COD_ID;PN_CON_1;PN_CON_2;CTMT;CT_COD_OP;UNI_TR_AT;SUB;CONJ;ARE_LOC;DIST;PAC_1;PAC_2;FAS_CON;TIP_INST;TIP_CND;POS;ODI;TI;CM;SITCONT;COMP;DESCR;Shape_Length,False,0
PONNOT,COD_ID;DIST;TIP_PN;TIP_INST;POS;ESTR;MAT;ESF;ALT;ARE_LOC;CONJ;MUN;ODI;TI;CM;TUC;A1;A2;A3;A4;A5;A6;UAR;SITCONT;DESCR,False,0
UNCRAT,COD_ID;DIST;FAS_CON;SIT_ATIV;TIP_UNID;POT_NOM;PAC_1;PAC_2;SUB;CONJ;MUN;ARE_LOC;DAT_CON;BANC;POS;DESCR,False,0
UNCRBT,COD_ID;DIST;FAS_CON;SIT_ATIV;TIP_UNID;POT_NOM;PAC_1;PAC_2;UNI_TR_MT;CTMT;UNI_TR_AT;SUB;CONJ;MUN;ARE_LOC;DAT_CON;BANC;POS;DESCR,False,0
UNCRMT,COD_ID;DIST;FAS_CON;SIT_ATIV;TIP_UNID;POT_NOM;PAC_1;PAC_2;CTMT;UNI_TR_AT;SUB;CONJ;MUN;ARE_LOC;DAT_CON;BANC;POS;DESCR,False,0
UNREAT,COD_ID;DIST;FAS_CON;SIT_ATIV;TIP_UNID;TIP_REGU;PAC_1;PAC_2;SUB;CONJ;MUN;DAT_CON;BANC;POS;DESCR,False,0
UNREMT,COD_ID;DIST;FAS_CON;SIT_ATIV;TIP_UNID;TIP_REGU;PAC_1;PAC_2;CTMT;UNI_TR_AT;SUB;CONJ;MUN;DAT_CON;BANC;POS;DESCR,False,0
UNSEAT,COD_ID;DIST;PAC_1;PAC_2;FAS_CON;SIT_ATIV;TIP_UNID;P_N_OPE;CAP_ELO;COR_NOM;TLCD;DAT_CON;SUB;CONJ;MUN;POS;DESCR,False,0
UNSEBT,COD_ID;DIST;PAC_1;PAC_2;FAS_CON;SIT_ATIV;TIP_UNID;P_N_OPE;CAP_ELO;COR_NOM;TLCD;DAT_CON;POS;UNI_TR_MT;CTMT;UNI_TR_AT;SUB;CONJ;MUN;ARE_LOC;DESCR,False,0
UNSEMT,COD_ID;DIST;PAC_1;PAC_2;FAS_CON;SIT_ATIV;TIP_UNID;P_N_OPE;CAP_ELO;COR_NOM;TLCD;DAT_CON;POS;CTMT;UNI_TR_AT;SUB;CONJ;MUN;ARE_LOC;DESCR,False,0
UNTRAT,COD_ID;SUB;BARR_1;BARR_2;BARR_3;PAC_1;PAC_2;PAC_3;DIST;FAS_CON_P;FAS_CON_S;FAS_CON_T;SIT_ATIV;TIP_UNID;POS;ARE_LOC;POT_NOM;POT_F01;POT_F02;PER_FER;PER_TOT;BANC;DAT_CON;CONJ;MUN;TIP_TRAFO;ALOC_PERD;ENES_01;ENES_02;ENES_03;ENES_04;ENES_05;ENES_06;ENES_07;ENES_08;ENES_09;ENES_10;ENES_11;ENES_12;ENET_01;ENET_02;ENET_03;ENET_04;ENET_05;ENET_06;ENET_07;ENET_08;ENET_09;ENET_10;ENET_11;ENET_12;ENES_01_IN;ENES_02_IN;ENES_03_IN;ENES_04_IN;ENES_05_IN;ENES_06_IN;ENES_07_IN;ENES_08_IN;ENES_09_IN;ENES_10_IN;ENES_11_IN;ENES_12_IN;ENET_01_IN;ENET_02_IN;ENET_03_IN;ENET_04_IN;ENET_05_IN;ENET_06_IN;ENET_07_IN;ENET_08_IN;ENET_09_IN;ENET_10_IN;ENET_11_IN;ENET_12_IN;DESCR,False,0
UNTRMT,COD_ID;DIST;PAC_1;PAC_2;PAC_3;FAS_CON_P;FAS_CON_S;FAS_CON_T;SIT_ATIV;TIP_UNID;POS;ATRB_PER;TEN_LIN_SE;CAP_ELO;CAP_CHA;TAP;ARE_LOC;CONF;POSTO;POT_NOM;PER_FER;PER_TOT;DAT_CON;CTMT;UNI_TR_AT;SUB;CONJ;MUN;BANC;TIP_TRAFO;MRT;DESCR,False,0
ARAT,COD_ID;DIST;FUN_PR;FUN_TE;DESCR;Shape_Length;Shape_Area,False,0
CONJ,COD_ID;DIST;NOME;SIST_INTE;SIST_SUBT;DESCR;Shape_Length;Shape_Area,False,0
SUB,COD_ID;DIST;POS;NOME;DESCR;Shape_Length;Shape_Area,False,0
BAR,COD_ID;SUB;DIST;TIP_INST;TEN_NOM;POS;PAC;ODI;TI;CM;TUC;A1;A2;A3;A4;A5;A6;UAR;IDUC;SITCONT;DAT_IMO;DESCR,False,0
BASE,DIST;DAT_INC;DAT_FNL;DAT_EXT;DESCR,False,0
BAY,COD_ID;DIST;SUB_GRP;POS;SUB;TIP_BAY;DESCR,False,0
BE,COD_ID;DIST;SUB_GRP;ORG_ENER;ENE_01;ENE_02;ENE_03;ENE_04;ENE_05;ENE_06;ENE_07;ENE_08;ENE_09;ENE_10;ENE_11;ENE_12;DESCR,False,0
CRVCRG,COD_ID;DIST;TIP_DIA;POT_01;POT_02;POT_03;POT_04;POT_05;POT_06;POT_07;POT_08;POT_09;POT_10;POT_11;POT_12;POT_13;POT_14;POT_15;POT_16;POT_17;POT_18;POT_19;POT_20;POT_21;POT_22;POT_23;POT_24;POT_25;POT_26;POT_27;POT_28;POT_29;POT_30;POT_31;POT_32;POT_33;POT_34;POT_35;POT_36;POT_37;POT_38;POT_39;POT_40;POT_41;POT_42;POT_43;POT_44;POT_45;POT_46;POT_47;POT_48;POT_49;POT_50;POT_51;POT_52;POT_53;POT_54;POT_55;POT_56;POT_57;POT_58;POT_59;POT_60;POT_61;POT_62;POT_63;POT_64;POT_65;POT_66;POT_67;POT_68;POT_69;POT_70;POT_71;POT_72;POT_73;POT_74;POT_75;POT_76;POT_77;POT_78;POT_79;POT_80;POT_81;POT_82;POT_83;POT_84;POT_85;POT_86;POT_87;POT_88;POT_89;POT_90;POT_91;POT_92;POT_93;POT_94;POT_95;POT_96;GRU_TEN;DESCR,False,0
CTAT,COD_ID;NOME;TEN_NOM;PAC_INI;DIST;DESCR,False,0
CTMT,COD_ID;NOME;BARR;SUB;PAC_INI;TEN_NOM;TEN_OPE;ATIP;RECONFIG;DIST;UNI_TR_AT;ENE_01;ENE_02;ENE_03;ENE_04;ENE_05;ENE_06;ENE_07;ENE_08;ENE_09;ENE_10;ENE_11;ENE_12;PERD_A3a;PERD_A4;PERD_B;PERD_MED;PERD_A3aA4;PERD_A3a_B;PERD_A4A3a;PERD_A4_B;PERD_B_A3a;PERD_B_A4;PNTMT_01;PNTMT_02;PNTMT_03;PNTMT_04;PNTMT_05;PNTMT_06;PNTMT_07;PNTMT_08;PNTMT_09;PNTMT_10;PNTMT_11;PNTMT_12;PNTBT_01;PNTBT_02;PNTBT_03;PNTBT_04;PNTBT_05;PNTBT_06;PNTBT_07;PNTBT_08;PNTBT_09;PNTBT_10;PNTBT_11;PNTBT_12;DESCR,False,0
EP,COD_ID;DIST;SUB_GRP_PR;SUB_GRP_SE;ENE_01;ENE_02;ENE_03;ENE_04;ENE_05;ENE_06;ENE_07;ENE_08;ENE_09;ENE_10;ENE_11;ENE_12;DESCR,False,0
EQCR,COD_ID;DIST;TIP_INST;UN_CR;ODI;TI;CM;TUC;A1;A2;A3;A4;A5;A6;UAR;IDUC;SITCONT;DAT_IMO;GRU_TEN;DESCR,False,0
EQME,COD_ID;PAC;DIST;TIP_INST;TIP_UNID;FAS_CON;TIPMED;ODI;TI;CM;TUC;A1;A2;A3;A4;A5;A6;UAR;SITCONT;DAT_IMO;GRU_TEN;DESCR;UC_UG,False,0
EQRE,COD_ID;DIST;TIP_INST;UN_RE;POT_NOM;TEN_REG;LIG_FAS_P;LIG_FAS_S;COR_NOM;REL_TP;REL_TC;ODI;TI;CM;TUC;A1;A2;A3;A4;A5;A6;UAR;IDUC;SITCONT;DAT_IMO;PER_FER;PER_TOT;R;XHL;GRU_TEN;DESCR,False,0
EQSE,COD_ID;DIST;TIP_INST;UN_SE;CLAS_TEN;ELO_FSV;MEI_ISO;FAS_CON;COR_NOM;ODI;TI;CM;TUC;A1;A2;A3;A4;A5;A6;UAR;IDUC;SITCONT;DAT_IMO;ABER_CRG;GRU_TEN;DESCR,False,0
EQTRAT,COD_ID;DIST;TIP_INST;UNI_TR_AT;CLAS_TEN;POT_NOM;LIG;FAS_CON;TEN_PRI;TEN_SEC;TEN_TER;ODI;TI;CM;TUC;A1;A2;A3;A4;A5;A6;UAR;IDUC;SITCONT;DAT_IMO;PER_FER;PER_TOT;POT_F01;POT_F02;DESCR,False,0
EQTRM,COD_ID;SUB;DIST;PAC;TIP_INST;TIP_UNID;ODI;TI;CM;TUC;A1;A2;A3;A4;A5;A6;UAR;IDUC;SITCONT;DAT_IMO;GRU_TEN;DESCR;UC_UG,False,0
