__layer,CEP,COD_ID,PN_CON,lon,lat,DIST,PAC,RAMAL,UNI_TR_MT,CTMT,UNI_TR_AT,SUB,CONJ,MUN,CEG_GD,BRR,CLAS_SUB,CNAE,TIP_CC,FAS_CON,GRU_TEN,TEN_FORN,GRU_TAR,SIT_ATIV,DAT_CON,CAR_INST,LIV,ARE_LOC,TIP_SIST,ENE_01,ENE_02,ENE_03,ENE_04,ENE_05,ENE_06,ENE_07,ENE_08,ENE_09,ENE_10,ENE_11,ENE_12,DIC_01,DIC_02,DIC_03,DIC_04,DIC_05,DIC_06,DIC_07,DIC_08,DIC_09,DIC_10,DIC_11,DIC_12,FIC_01,FIC_02,FIC_03,FIC_04,FIC_05,FIC_06,FIC_07,FIC_08,FIC_09,FIC_10,FIC_11,FIC_12,SEMRED,DESCR
UCBT_tab,01310-200,cb742ca258e64d08c4d3613cecb76e064a42f05b76027629b391e5273f75fb20,1310750,,,390,33090569739342260L,12307295S1,14375157,AUG0202,DAUG-EQ-TR2,DAUG,16596,3550308, ,AV PAULISTA 1682 BELA VISTA,PP1,8411-6/00,SP-Tipo06,ABCN,BT,10,B3,DS,01/04/1981,1031.9,0,UB,RD_INTERLIG,61.0,36.0,100.0,85.512,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.01,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0, 
UCBT_tab,01310-200,94c14263099d2bc90d7a2f966810d34e8822ba0ff0ac01a0a12b8aff8dc23802, ,,,390,33088242739344597L,12307182S1,14375010,AUG0201,DAUG-EQ-TR2,DAUG,16596,3550308, ,AV PAULISTA 1728 BELA VISTA,CO9,6499-9/99,COM-Tipo03,ABCN,BT,10,B3,DS,01/04/1986,39.0,0,UB,RD_INTERLIG,1515.2,1424.8,1979.342,1400.0,1549.6,1033.6,682.75,691.98,1293.6,1393.6,417.72,1256.04,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0, 
UCBT_tab,01310-200,f7f98023b9c90ef530ef0f689be97b891a0c96928bcf47054db37ff30a9886fd, ,,,390,33088242739344597L,12307182S1,14375010,AUG0201,DAUG-EQ-TR2,DAUG,16596,3550308, ,AV PAULISTA 1728 BELA VISTA,CO1,6422-1/00,COM-Tipo05,ABCN,BT,10,B3,DS,01/02/1986,4.5,0,UB,RD_INTERLIG,3568.8,3297.6,2081.955,5529.6,3252.8,2539.2,2001.22,1676.28,2828.0,3379.2,1517.48,2867.31,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0, 
UCBT_tab,01310-200,ee398297d83cefa66317b979d485347b3d9ae3384eae2ed0a6fa792fb75bbc01, ,,,390,33088242739344597L,12307182S1,14375010,AUG0201,DAUG-EQ-TR2,DAUG,16584,3550308, ,AV PAULISTA 1728 BELA VISTA,CO9,6421-2/00,COM-Tipo02,ABCN,BT,10,B3,AT,01/07/1986,39.0,0,UB,RD_INTERLIG,0.0,41.55,108.707,102.67,100.59,29.1,0.0,0.0,300.0,100.64,59.0,38.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0, 
UCBT_tab,01310-200,c353fb4fb23ae0e4a1293dd398fc9fd0bb481b1fef18647c4de1f11be65b74ce, ,,,390,33088242739344597L,12307182S1,14375010,AUG0201,DAUG-EQ-TR2,DAUG,16596,3550308, ,AV PAULISTA 1728 BELA VISTA,CO1,6431-0/00,COM-Tipo01,ABCN,BT,10,B3,DS,01/01/1987,44.1,0,UB,RD_INTERLIG,17073.6,16943.2,20068.203,17316.0,20141.6,18082.4,15221.47,12116.06,18571.2,20610.4,10362.76,17145.79,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0, 
UCBT_tab,01310-200,1cb769682d4ad3bef515c2616b3c31a8f5d55984e169d915bbed4bfc738b2cf8, ,,,390,33088242739344597L,12307182S1,14375010,AUG0201,DAUG-EQ-TR2,DAUG,16596,3550308, ,AV PAULISTA 1728 BELA VISTA,CO9,6421-2/00,COM-Tipo01,ABCN,BT,10,B3,DS,01/08/1984,380.0,0,UB,RD_INTERLIG,14132.0,13940.0,5865.835,0.0,39208.0,10620.0,8930.88,6975.96,12152.0,13636.0,6603.28,12791.25,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0, 
UCBT_tab,01310-200,d003645f9261944884305b7a1deddf96a3270c147d46ac9a5ce3c6d0681c44ce,10971552,,,390,33085305739347489L,12307074S1,14374950,AUG0202,DAUG-EQ-TR2,DAUG,16596,3550308, ,AV PAULISTA 1754 BELA VISTA,RE1, ,RES-Tipo05,ABCN,BT,10,B1,DS,01/01/1985,39.0,0,UB,RD_INTERLIG,550.37,780.0,1080.0,740.0,760.0,320.0,240.0,400.0,620.0,700.0,460.0,796.15,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0, 
UCBT_tab,01310-200,9f1e6892f59a581615adc7c6d6a21994e7fb454199244ddfa48b5ba30379f4fc,10971552,,,390,33085305739347489L,12307074S1,14374950,AUG0202,DAUG-EQ-TR2,DAUG,16596,3550308, ,AV PAULISTA 1754 BELA VISTA,RE1, ,RES-Tipo03,ABCN,BT,10,B1,DS,01/09/1983,7.5,0,UB,RD_INTERLIG,362.24,613.0,861.0,572.0,527.0,301.0,258.0,1287.0,100.0,100.0,352.0,667.99,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0, 
UCBT_tab,01310-200,6241095e4bff1389202a178c4b1ed0b29f1ed5d3795439004cacd0a737c6164c,10971552,,,390,33085305739347489L,12307074S1,14374950,AUG0202,DAUG-EQ-TR2,DAUG,16596,3550308, ,AV PAULISTA 1754 BELA VISTA,CO1,6810-2/02,COM-Tipo02,ABN,BT,10,B3,DS,01/08/1984,0.8,0,UB,RD_INTERLIG,387.0,296.0,355.472,139.0,186.0,109.0,83.16,64.66,144.0,197.0,76.11,210.38,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0, 
UCBT_tab,01310-200,ef96fbe11565d5e4f9778252c36c60ac7a4ea1b969edab3d8d5b7e8835c941e6,10971552,,,390,33085305739347489L,12307074S1,14374950,AUG0202,DAUG-EQ-TR2,DAUG,16596,3550308, ,AV PAULISTA 1754 BELA VISTA,CO1,4755-5/02,COM-Tipo02,ABCN,BT,10,B3,DS,01/05/1984,7.2,0,UB,RD_INTERLIG,719.0,746.0,716.38,526.0,559.0,238.0,181.44,132.37,399.0,609.0,264.32,257.24,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0, 
UCBT_tab,01310-200,4586a4e46fa01442dfe6233a4d6612621c3254e04e3908bf6de2a0d88c54ff2f,10971552,,,390,33085305739347489L,12307074S1,14374950,AUG0202,DAUG-EQ-TR2,DAUG,16596,3550308, ,AV PAULISTA 1754 BELA VISTA,CO1,6810-2/02,COM-Tipo02,ABCN,BT,10,B3,DS,01/10/1984,4.5,0,UB,RD_INTERLIG,100.0,130.0,260.897,140.0,170.0,110.0,84.0,54.9,110.0,100.0,41.3,105.19,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0, 
